,N-CA-CB-CG--SIN,CA-CB-CG-CD1--SIN,CA-CB-CG-CD2--SIN,CB-CG-CD1-CE1--SIN,CB-CG-CD2-CE2--SIN,CG-CD1-CE1-CZ--SIN,CD1-CE1-CZ-CE2--SIN,CZ-CD1-CE1-CZ--SIN,N-CA-CB-CG--COS,CA-CB-CG-CD1--COS,CA-CB-CG-CD2--COS,CB-CG-CD1-CE1--COS,CB-CG-CD2-CE2--COS,CG-CD1-CE1-CZ--COS,CD1-CE1-CZ-CE2--COS,CZ-CD1-CE1-CZ--COS
N-CA-CB-CG--SIN,1.0,-0.004768745351655895,0.006960745995225265,0.003503047285426296,0.0032871385088466226,-0.008953508818504104,-0.012413220315215029,-0.008953508818504104,-0.004983601067692191,0.006821067243051341,0.02463970146982463,0.001764595068766391,0.00459842748849241,0.0019113136621282591,-0.013481010237872234,0.0019113136621282591
CA-CB-CG-CD1--SIN,-0.004768745351655895,1.0,-0.10643828333747328,-0.03148280728450255,0.03084236286723937,0.011124413138763594,-0.008056240153103222,0.011124413138763594,-0.011147594931995823,0.00034389901409438386,-0.033170500504141165,0.005198564312793942,0.004967346195718333,-0.016814811162635977,-0.01756609269978376,-0.016814811162635977
CA-CB-CG-CD2--SIN,0.006960745995225265,-0.10643828333747328,1.0,0.018776707184238847,-0.009663452416916653,-0.005556922616721502,0.019414658775784816,-0.005556922616721502,0.015307039539708418,0.022027897624304665,0.003483243737511567,0.0009471518920084446,0.009573511045707656,0.0208513892272979,0.019117007736157467,0.0208513892272979
CB-CG-CD1-CE1--SIN,0.003503047285426296,-0.03148280728450255,0.018776707184238847,1.0,-0.674812948926309,0.015406658426110392,0.007521226476524641,0.015406658426110392,-0.007444983986823604,-0.004808731457728389,-0.019646406023207823,-0.026829041813031026,-0.021225185658268537,-0.023055093331127544,-0.009919013486298128,-0.023055093331127544
CB-CG-CD2-CE2--SIN,0.0032871385088466226,0.03084236286723937,-0.009663452416916653,-0.674812948926309,1.0,0.0338884116593239,-0.019627116250464743,0.0338884116593239,0.010422051009831998,0.0010195770620122068,-0.0019431059775044841,0.023601121573693283,0.019024888262408595,0.03309980560591572,0.01802531569700695,0.03309980560591572
CG-CD1-CE1-CZ--SIN,-0.008953508818504104,0.011124413138763594,-0.005556922616721502,0.015406658426110392,0.0338884116593239,1.0,-0.467004905195645,1.0,-0.01644953409574822,0.0004561930238453287,0.0006781558284625822,-0.006024847811880325,8.767542564794837e-05,-0.005243008079268811,-0.010827001585646008,-0.005243008079268811
CD1-CE1-CZ-CE2--SIN,-0.012413220315215029,-0.008056240153103222,0.019414658775784816,0.007521226476524641,-0.019627116250464743,-0.467004905195645,1.0,-0.467004905195645,0.02782014667186193,-0.02933663819963314,-0.012031049021651658,-0.009467212638421181,-0.012066286958640074,0.0006668225967850446,0.016606479673944716,0.0006668225967850446
CZ-CD1-CE1-CZ--SIN,-0.008953508818504104,0.011124413138763594,-0.005556922616721502,0.015406658426110392,0.0338884116593239,1.0,-0.467004905195645,1.0,-0.01644953409574822,0.0004561930238453287,0.0006781558284625822,-0.006024847811880325,8.767542564794837e-05,-0.005243008079268811,-0.010827001585646008,-0.005243008079268811
N-CA-CB-CG--COS,-0.004983601067692191,-0.011147594931995823,0.015307039539708418,-0.007444983986823604,0.010422051009831998,-0.01644953409574822,0.02782014667186193,-0.01644953409574822,1.0,-0.0011968119424363547,-0.021253262416755368,0.030263977349570148,0.020977960840195615,0.024598084562429904,0.02947013893092055,0.024598084562429904
CA-CB-CG-CD1--COS,0.006821067243051341,0.00034389901409438386,0.022027897624304665,-0.004808731457728389,0.0010195770620122068,0.0004561930238453287,-0.02933663819963314,0.0004561930238453287,-0.0011968119424363547,1.0,-0.08256523947434519,0.018482849655502103,0.023187713565018912,-0.012983140238999815,-0.01133955731521686,-0.012983140238999815
CA-CB-CG-CD2--COS,0.02463970146982463,-0.033170500504141165,0.003483243737511567,-0.019646406023207823,-0.0019431059775044841,0.0006781558284625822,-0.012031049021651658,0.0006781558284625822,-0.021253262416755368,-0.08256523947434519,1.0,0.012275371322277758,0.0034293484656928584,-0.0030458033159634526,-0.002165232490430841,-0.0030458033159634526
CB-CG-CD1-CE1--COS,0.001764595068766391,0.005198564312793942,0.0009471518920084446,-0.026829041813031026,0.023601121573693283,-0.006024847811880325,-0.009467212638421181,-0.006024847811880325,0.030263977349570148,0.018482849655502103,0.012275371322277758,1.0,0.8881323353989357,0.007175858236496985,-0.04876390706501102,0.007175858236496985
CB-CG-CD2-CE2--COS,0.00459842748849241,0.004967346195718333,0.009573511045707656,-0.021225185658268537,0.019024888262408595,8.767542564794837e-05,-0.012066286958640074,8.767542564794837e-05,0.020977960840195615,0.023187713565018912,0.0034293484656928584,0.8881323353989357,1.0,-0.02628733416397377,-0.027503720274825873,-0.02628733416397377
CG-CD1-CE1-CZ--COS,0.0019113136621282591,-0.016814811162635977,0.0208513892272979,-0.023055093331127544,0.03309980560591572,-0.005243008079268811,0.0006668225967850446,-0.005243008079268811,0.024598084562429904,-0.012983140238999815,-0.0030458033159634526,0.007175858236496985,-0.02628733416397377,1.0,0.5970575861454402,1.0
CD1-CE1-CZ-CE2--COS,-0.013481010237872234,-0.01756609269978376,0.019117007736157467,-0.009919013486298128,0.01802531569700695,-0.010827001585646008,0.016606479673944716,-0.010827001585646008,0.02947013893092055,-0.01133955731521686,-0.002165232490430841,-0.04876390706501102,-0.027503720274825873,0.5970575861454402,1.0,0.5970575861454402
CZ-CD1-CE1-CZ--COS,0.0019113136621282591,-0.016814811162635977,0.0208513892272979,-0.023055093331127544,0.03309980560591572,-0.005243008079268811,0.0006668225967850446,-0.005243008079268811,0.024598084562429904,-0.012983140238999815,-0.0030458033159634526,0.007175858236496985,-0.02628733416397377,1.0,0.5970575861454402,1.0
